[2020-11-09T03:09:15.603Z] ::1 - POST /api/admin/sessions/ 200 {"email":"email@email.com","password":"newpass","loginDate":"2020-11-09 13:09:15"} 474.384 ms
[2020-11-09T03:09:47.733Z] ::1 email@email.com GET /api/admin/clientservices/1 304 {} 67.373 ms
[2020-11-09T03:09:48.036Z] ::1 email@email.com GET /api/business/collections/list_all/1 304 {} 166.135 ms
[2020-11-09T03:12:01.248Z] ::1 email@email.com GET /api/reports/collections/1/aging/something 200 {} 1.409 ms
[2020-11-09T03:12:01.252Z] ::1 email@email.com GET /api/reports/collections/1/aging/something 304 {} 0.868 ms
[2020-11-09T03:14:59.274Z] ::1 email@email.com GET /api/reports/collections/1/aging/something 304 {} 5.439 ms
[2020-11-09T03:14:59.280Z] ::1 email@email.com GET /api/reports/collections/1/aging/something 304 {} 1.669 ms
[2020-11-09T03:24:25.840Z] ::1 email@email.com GET /api/reports/[object%20Object] - {} - ms
[2020-11-09T03:24:25.844Z] ::1 email@email.com GET /api/reports/[object%20Object] - {} - ms
[2020-11-09T03:24:28.157Z] ::1 email@email.com POST /api/reports/ 404 {"workspace":"collections","reportName":"aging","clientId":1} 1.278 ms
[2020-11-09T03:24:28.159Z] ::1 email@email.com POST /api/reports/ 404 {"workspace":"collections","reportName":"aging","clientId":1} 0.557 ms
[2020-11-09T03:39:05.497Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 535.241 ms
[2020-11-09T03:39:05.509Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 544.117 ms
[2020-11-09T03:49:02.595Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 99.497 ms
[2020-11-09T03:49:02.680Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 182.782 ms
[2020-11-09T04:12:57.661Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 22.147 ms
[2020-11-09T04:12:57.679Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 38.942 ms
[2020-11-09T04:13:44.303Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 157.319 ms
[2020-11-09T04:13:44.314Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 168.399 ms
[2020-11-09T04:14:20.114Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 61.698 ms
[2020-11-09T04:14:20.134Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 73.725 ms
[2020-11-09T04:15:37.484Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 22.964 ms
[2020-11-09T04:15:37.549Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 25.050 ms
[2020-11-09T04:16:13.880Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 130.800 ms
[2020-11-09T04:16:13.974Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 223.294 ms
[2020-11-09T04:17:18.606Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 102.989 ms
[2020-11-09T04:17:18.622Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 110.447 ms
[2020-11-09T04:43:46.501Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 57.146 ms
[2020-11-09T04:43:46.543Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 83.962 ms
[2020-11-09T04:44:45.494Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 17.380 ms
[2020-11-09T04:44:45.656Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 167.501 ms
[2020-11-09T04:45:15.223Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 105.893 ms
[2020-11-09T04:45:15.239Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 119.634 ms
[2020-11-09T04:45:41.482Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 51.811 ms
[2020-11-09T04:45:41.549Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 111.860 ms
[2020-11-09T04:45:56.719Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 97.142 ms
[2020-11-09T04:45:56.743Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 117.110 ms
[2020-11-09T04:46:05.548Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 9.506 ms
[2020-11-09T04:46:05.573Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 14.043 ms
[2020-11-09T04:49:47.262Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 42.893 ms
[2020-11-09T04:49:47.380Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 153.720 ms
[2020-11-09T04:51:24.341Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 20.417 ms
[2020-11-09T04:51:24.389Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 56.819 ms
[2020-11-09T04:52:44.251Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 29.809 ms
[2020-11-09T04:52:44.262Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 29.141 ms
[2020-11-09T04:54:21.130Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 119.693 ms
[2020-11-09T04:54:21.142Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 120.102 ms
[2020-11-09T04:57:48.810Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 119.234 ms
[2020-11-09T04:57:48.828Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 131.948 ms
[2020-11-09T04:58:11.033Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 133.208 ms
[2020-11-09T04:58:11.047Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 142.137 ms
[2020-11-09T04:59:44.562Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 28.575 ms
[2020-11-09T04:59:44.593Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 24.301 ms
[2020-11-09T05:01:20.001Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 25.290 ms
[2020-11-09T05:01:20.016Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 34.331 ms
[2020-11-09T05:01:40.766Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 35.016 ms
[2020-11-09T05:01:40.884Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 148.608 ms
[2020-11-09T05:16:16.730Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 21.014 ms
[2020-11-09T05:16:16.750Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 38.855 ms
[2020-11-09T05:27:23.154Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 55.099 ms
[2020-11-09T05:27:23.167Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 67.363 ms
[2020-11-09T05:29:10.150Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 120.540 ms
[2020-11-09T05:29:10.169Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 134.966 ms
[2020-11-09T05:29:25.637Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 13.663 ms
[2020-11-09T05:29:25.650Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 21.088 ms
[2020-11-09T05:29:38.284Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 101.799 ms
[2020-11-09T05:29:38.303Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 114.074 ms
[2020-11-09T05:29:54.272Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 48.347 ms
[2020-11-09T05:29:54.333Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 105.030 ms
[2020-11-09T05:50:20.045Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 13.423 ms
[2020-11-09T05:50:20.057Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 24.917 ms
[2020-11-09T05:50:36.552Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 12.251 ms
[2020-11-09T05:50:36.571Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 25.397 ms
[2020-11-09T05:53:32.214Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 12.978 ms
[2020-11-09T05:53:32.233Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 26.414 ms
[2020-11-09T05:54:42.502Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 12.025 ms
[2020-11-09T05:54:42.540Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 27.474 ms
[2020-11-09T05:55:40.177Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 13.756 ms
[2020-11-09T05:55:40.195Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 28.701 ms
